unidade,asunto,tipo,adxudicatario,importe,num_licitadores,fin_contrato,data
ANIMACIÓN SOCIOCULTURAL E FESTAS,CONTRATACIÓN DA ANIMACIÓN 'PACHAMAMA' PARA A CABALGATA DE REIS 2021,Servizo,TROULA ANIMACION S L,4410.45,1,2021/00/05,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,"CONTRATACIÓN DA ASISTENCIA TÉCNICA PARA O APOIO E ASESORAMENTO SOBRE ASPECTOS TÉCNICOS RELATIVOS AO DESENVOLVEMENTO, SEGUEMENTO E ANÁLISE DOS PROGRAMAS DO SERVIZO DE FESTAS",Servizo,EVENTOS CULTURAIS RETALLISTAS S L,17908.0,1,2021/00/31,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,REPORTAXE FOTOGRÁFICA CABALGATA DE REIS 2021,Servizo,DAPONTE BUJAN SONIA,2473.24,3,2021/00/07,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,RETRANSMISIÓN TELEVISIVA CABALGATA DE REIS 2021,Servizo,INICIATIVAS AUDIOVISUAIS VIGO SL,17545.0,1,2021/00/06,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,Organización do servizo de visita dos Reis Magos aos Hospitais da cidade,Servizo,ROGIBA MARKETING SL,2625.7,1,2021/00/05,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,Contrato privado subministro da prensa diaria (FARO DE VIGO),Subministro,"FARO DE VIGO, S.A. UNIPERSONAL",380.0,1,2021/00/31,2021/00/08
ANIMACIÓN SOCIOCULTURAL E FESTAS,deseño dun plan de autoprotección e a coordinación PRL para os eventos organizados polo Concello de Vigo no programa 'Vigo en Festas 2021' en diferentes localizacións da cidade,Servizo,BALBOA RODRIGUEZ NURIA,12826.0,1,2021/00/30,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación do servizo de mensaxería  para o servizo de festas durante o ano 2021',Servizo,"REPARTO Y GESTION URGENTE,S.L.",246.96,0,2021/00/31,2021/00/07
ANIMACIÓN SOCIOCULTURAL E FESTAS,Servizo de aluguer de cadeiras nas actividades que conforman o programa 'Vigo en Festas 2021',Servizo,EVENTOS ESPECTACULARES DEL NOROESTE S L,18088.29,1,2021/00/30,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,Instalación de acometidas eléctricas para as actividades que conforman o programa 'vigo en Festas 2021',Servizo,ACELEC INSTALACIONES ELECTRICAS SL,17977.7,1,2021/00/30,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,Servizo de contro de acceso en actividades programadas con motivo do 'Vigo en Festas 2021',Servizo,EVENTOS ESPECTACULARES DEL NOROESTE S L,13743.18,1,2021/00/30,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,"contrato privado dos espectáculos 'Bambolina', 'Globotolo', 'Pinga, Pinga', 'Pepiña Maruxiña quere voar' e 'O Censor de Monstros'",Servizo,BARAFUNDA SL,7199.5,1,2021/00/30,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,contrato privado de gasto menor da actuación do grupo 'Andarela',Servizo,ASOC FOLKLORICA ANDARELA,450.0,1,2021/00/30,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación das actuacións de Tony Lomba e Phanton Club,Servizo,CATEGORICA PRODUCIONES SL,18000.0,1,2021/00/30,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,contrato privado de gasto menor do artista Alberto Cunha,Servizo,CUNHA RODRIGUEZ ALBERTO,907.5,1,2021/00/30,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación de 9 actuacións de Bandas de Música dentro do programa 'Vigo en Festas 2021',Servizo,FEDERACION DE BANDAS DE MUSICA POPULARES DE VIGO,14990.0,1,2021/00/30,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación da actuación do grupo 'Tanxugueiras' dentro do programa 'Vigo en Festas 2021',Servizo,PLAY PLAN CULTURAL S L U,11749.1,1,2021/00/30,2021/00/11
ANIMACIÓN SOCIOCULTURAL E FESTAS,Contratación da actuación do grupo 'Cantadeiras do Alba'dentro do programa 'Vigo en Festas 2021',Servizo,CENTRO VECIÑAL E CULTURAL DE VALADARES,800.0,1,2021/00/30,2021/00/11
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación da actuación do grupo SondeSeu dentro do programa 'Vigo en Festas 2021',Servizo,NALGURES PRODUCIONS S L,17696.75,1,2021/00/30,2021/00/11
ANIMACIÓN SOCIOCULTURAL E FESTAS,Contratación privada de gasto menor do grupo Acordeireta dentro do programa 'Vigo en Festas' 2021,Servizo,ARTEFEITO PRODUCIONS S COOP GALEGA,2420.0,1,2021/00/30,2021/00/18
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación das reportaxes fotográficas dos eventos organizados polo Servizo de Festas dentro  do Programa Vigo en Festas 2021,Servizo,JJLANFOCO SERVICIOS AUXILIARES DE EMPRESA SL,7260.0,1,2021/00/30,2021/00/24
ANIMACIÓN SOCIOCULTURAL E FESTAS,Subministro de lonas e banderolas para as actuacións incluidas no programa 'Vigo en Festas ' 2021,Subministro,CORPORACION DE COMUNICACIONES SL,822.8,1,2021/00/30,2021/00/17
ANIMACIÓN SOCIOCULTURAL E FESTAS,"contratacións das actuacións 'Uxía pata de palo', 'lío élfico', 'Matilda' e 'Adiviña quen son' dentro do programa 'Vigo en Festas' 2021",Servizo,KOREMI REHABILITACION SL,5880.6,1,2021/00/30,2021/00/18
ANIMACIÓN SOCIOCULTURAL E FESTAS,contrato de subministro para a adquisición de avituallamento de voluntarios que participan en actividades do Servizo de Festas,Subministro,SOBRINO BAEZA ROGELIO,4620.0,1,2021/00/31,2021/00/24
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación da actuación artística do grupo 'Bafana Bafana',Servizo,ESTEVEZ MALVAR DAVID,5324.0,1,2021/00/30,2021/00/14
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación artística do grupo 'Navia Jazz Orchestra' dentro do programa 'Vigo en Festas 2021',Servizo,AAVV EMILIO CRESPO CANO S PAIO NAVIA,500.0,1,2021/00/30,2021/00/24
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación da actuación do artista Xisco Feijoo para a presentación do seu novo albúm 'Peixe',Servizo,NORDESIA PRODUCCIONS SL,18029.0,1,2021/00/30,2021/00/15
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación do evento 'Vigo Bailando' dentro do programa 'Vigo en Festas' 2021,Servizo,ASOCIACION VIGO POR LA DANZA,14283.39,1,2021/00/30,2021/00/25
ANIMACIÓN SOCIOCULTURAL E FESTAS,Organización dun ciclo de tres concertos da Orquesta Clásica de Vigo,Servizo,ORQUESTA CLASICA DE VIGO,14355.85,1,2021/00/30,2021/00/25
ANIMACIÓN SOCIOCULTURAL E FESTAS,"Elaboración, deseño e seguimento dun plan de Autoprotección e a coordinación PRL do auditorio ao aire libre de Castrelos",Servizo,MURCIEGO DELGADO PEDRO,7320.5,1,2021/00/30,2021/00/29
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación da reparación e revisión do auditorio ao aire libre de Castrelos,Servizo,SACAFERRO SL,7986.16,1,2021/00/30,2021/00/30
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación do asesoramento técnico e seguimento da producción técnica dos espectáculos programados polo Servizo de Festas durante o ano 2021,Servizo,COMESAÑA RIAL ALBERTO,16698.0,1,2021/00/30,2021/00/30
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación da organización do show de danza urbana IX VIKUL,Servizo,COREOMAGAZINE ASOC ARTIST Y CULTURAL PARA LA PROMOCION DE *,14400.73,1,2021/00/30,2021/00/05
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación privada do artista Ruben de Lis dentro do programa 'Vigo en Festas 2021',Servizo,VILLAR DE LIS RUBEN,1705.0,1,2021/00/30,2021/00/02
ANIMACIÓN SOCIOCULTURAL E FESTAS,"contratación artístico do grupo MITIC dentro do programa 'Vigo en Festas, 2021'",Servizo,GRUPO VILGORPE SL,18137.9,1,2021/00/30,2021/00/01
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación da actualización e mantemento das redes sociais 'Vigo en Festas',Servizo,ROGIBA MARKETING SL,8954.0,1,2021/00/30,2021/00/06
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación da asistencia técnica e asesoramento sobre as cargas para a cuberta do auditorio ao aire libre de Castrelos,Servizo,NAM ARQUITECTOS SLP,3775.2,1,2021/00/02,2021/00/12
ANIMACIÓN SOCIOCULTURAL E FESTAS,CONTRATACIÓN PRIVADA DO ARTISTA TEO CARDALDA DENTRO DO PROGRAMA 'VIGO EN FESTAS' 2021,Servizo,EVENTOS CORCHEA Y ASOCIADOS S L,9922.0,1,2021/00/30,2021/00/08
ANIMACIÓN SOCIOCULTURAL E FESTAS,"contratación do espectáculo musical infantil 'Uxia Lambona e a banda molona', dentro do programa 'Vigo en Festas' 2021",Servizo,TROULA ANIMACION S L,11664.4,1,2021/00/30,2021/00/08
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación da actuación do Grupo América dentro do programa 'Vigo en Festas' 2021,Servizo,DIAZ CASAL MIGUEL,9680.0,1,2021/00/30,2021/00/08
ANIMACIÓN SOCIOCULTURAL E FESTAS,Contratación da actuación do grupo 'Cronicas Pop' dentro do programa 'Vigo en Festas' 2021,Servizo,"BIGLAB, S.L.",1996.5,1,2021/00/30,2021/00/15
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación privada da representación da obra de teatro 'o que hai que hai que hai que ver' dentro do programa 'Vigo en Festas' 2021,Servizo,POMBAL PEREZ MANUEL,1750.0,1,2021/00/15,2021/00/21
ANIMACIÓN SOCIOCULTURAL E FESTAS,"contratación privada das actuacións infántis 'A Histoira de Martín', 'A Casiña de Cartón', 'Laia, aprendiz de maga' e 'Onde está o vento?' dentro do programa 'Vigo en Festas' 2021",Servizo,SANLES MIGUEZ XIADA,2407.9,1,2021/00/30,2021/00/22
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación do grupo 'La Banda de ayer' dentro del programa 'Vigo en Festas' 2021,Servizo,ESPECTACULOS Y MUSICAL MISA SL,2722.5,1,2021/00/30,2021/00/21
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación do Grupo de Gaitas 'Cotogrande' dentro do programa 'Vigo en Festas' 2021,Servizo,CENTRO RECREATIVO Y CULTURAL DE CABRAL VIGO,300.0,1,2021/00/30,2021/00/15
ANIMACIÓN SOCIOCULTURAL E FESTAS,"contratación da actuación dos grupos 'Augas de Maio', 'Ronconsón' e 'Contomeleiros' dentro do programa 'Vigo en Festas' 2021",Servizo,UNION VECIÑAL CULTURAL E DEPORTIVA DE CANDEAN,400.0,1,2021/00/30,2021/00/23
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación privada da actuación do Grupo Assia dentro do programa 'Vigo en Festas' 2021,Servizo,ASESORAMENTO PROFESIONAL MUSICAL SL,9438.0,1,2021/00/30,2021/00/23
ANIMACIÓN SOCIOCULTURAL E FESTAS,"contratación do grupo BAFANA BAFANA, para actuación en Cabral, dentro do Programa 'Vigo en Festas' 2021",Servizo,ESTEVEZ MALVAR DAVID,4900.5,1,2021/00/30,2021/00/16
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación da actuación da Banda de Gaitas Charamuscas,Servizo,S C R Y D HELIOS,400.0,1,2021/00/30,2021/00/23
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación privada da actuación do grupo de Pandereteiras 'Volta do Demo' de do grupo 'Os Escaravellos' dentro do Programa 'Vigo en Festas' 2021,Servizo,ASOC DE VECINOS DE BEADE DE VIGO,450.0,1,2021/00/30,2021/00/23
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación privada da actuación do grupo LEILÍA dentro do programa 'Vigo en Festas' 2021,Servizo,SWEET NOCTURNA S L N E,12947.0,1,2021/00/30,2021/00/30
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación privada da actuación do grupo de gaitas 'Atlántida de Matamá' dentro do programa 'Vigo en Festas' 2021,Servizo,S C D ATLANTIDA DE MATAMA,500.0,1,2021/00/30,2021/00/30
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación privada da actuación da monologuista Jazmín Abuín nos eventos a celebrar na praza Compostela dentro do programa 'Vigo en Festas' 2021,Servizo,SMART IBERICA DE IMPULSO EMPREARIAL S COOP AND,1694.0,1,2021/00/30,2021/00/12
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación da actuación artística do grupo 'Fanfarria Taquikardia' dentro do programa 'Festas de Vigo' 2021,Servizo,COPERACTIVA CULTURAL SL,5566.0,1,2021/00/30,2021/00/18
ANIMACIÓN SOCIOCULTURAL E FESTAS,"contratación do Festival de percusión 'Vigo Late' na praza compostela, dentro do programa 'vigo en Festas' 2021",Servizo,ODAIKO KREA S L,16698.0,1,2021/00/30,2021/00/10
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación privada do espectáculo de maxia ilusionante Pedro Volta na Praza Compostela dentro do programa 'Vigo en Festas' 2021,Servizo,ILUSIONS WORKS S L,6050.0,1,2021/00/03,2021/00/06
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación da actuación da Coral Casablanca dentro do programa 'Vigo en Festas' 2021,Servizo,FUNDACION CORAL CASABLANCA DEL CIRCULO MERCANTIL DE VIGO,15000.0,1,2021/00/30,2021/00/06
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación da actuación do grupo 'A RODA' dentro do programa 'Vigo en Festas' 2021,Servizo,ARTESA ARTÍSTICA S L,10406.0,1,2021/00/30,2021/00/06
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación da actuación da agrupación ABUXAINA dentro do programa 'Vigo en Festas' 2021,Servizo,CENTRO RECREATIVO ARTISTICO CULT CORUXO,500.0,1,2021/00/30,2021/00/06
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación da actuación do grupo 'ACORDEÓNS' dentro do programa 'Vigo en Festas' 2021,Servizo,CENTRO VECIÑAL E CULTURAL DE VALADARES,800.0,1,2021/00/30,2021/00/20
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación privada do artista 'Alberto Cunha' dentro do programa 'Vigo en Festas' 2021,Servizo,ESMERARTE INDUSTRIAS CREATIVAS SL,2904.0,1,2021/00/30,2021/00/20
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación da actuación do grupo 'Eladio y los seres queridos' dentro del programa 'Vigo en Festas' 2021,Servizo,ESMERARTE INDUSTRIAS CREATIVAS SL,8228.0,1,2021/00/05,2021/00/11
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación da prestación dun servizo de produción técnica local para a actuación do grupo 'los secretos' dentro do programa 'vigo en festas' 2021',Servizo,INDUSTRIAS ORQUESTALES SL,14520.0,0,2021/00/30,2021/00/24
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación privada do grupo de música tradicional O FIADEIRO dentro do programa 'vigo en Festas' 2021,Servizo,ASOC FOLCLORICA O FIADEIRO,500.0,1,2021/00/30,2021/00/12
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación privada da actuación da Coral da AVCR San Mamede de Zamáns dentro do programa 'Vigo en Festas' 2021,Servizo,ASOC  V C R 'SAN MAMED DE ZAMANES',900.0,1,2021/00/30,2021/00/13
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación privada da actuación do organista Nicolás Varela García dentro do programa 'Vigo en Festas' 2021,Servizo,VARELA GARCIA NICOLAS,550.0,1,2021/00/30,2021/00/13
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación privada do espectáculo de clowns 'ASACOCIRCO SHOW' dentro do programa de 'vigo en Festas' 2021,Servizo,CRESPO GOMEZ MIRIAM,2640.0,1,2021/00/30,2021/00/18
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación privada da actuación da orquesta vigo 430 para a súa actuación no festival de música clásica e jazz',Servizo,ASOCIACION ORQUESTRA VIGO 430,14990.0,0,2021/00/30,2021/00/09
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación privada do grupo vigo ensemble para a súa actuación no festival de música clásica e jazz',Servizo,"BIGLAB, S.L.",7260.0,0,2021/00/30,2021/00/07
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación privada de abe rábade trío para a súa actuación no festival de música clásica e jazz',Servizo,PRODUCCIONES BLES S L,7260.0,0,2021/00/30,2021/00/06
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación do sistema de xestión de invitacións previas para os asistentes aos concertos de 'los secretos' e 'amaral' dentro do programa 'vigo en festas' 2021',Servizo,GESTION Y SERVICIOS PARA ESPECTACULOS Y EVENTOS SL,2904.0,3,2021/00/30,2021/00/24
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación da actuación privada do concerto de pelepau dentro do programa 'vigo en festas' 2021',Servizo,COPERACTIVA CULTURAL SL,3025.0,0,2021/00/30,2021/00/31
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación dun servizo de ambulancia para os concestos de 'los secretos' e 'amaral' dentro do programa 'vigo en festas' 2021',Servizo,AMBULANCIAS RIAS BAIXAS SL,800.0,1,2021/00/30,2021/00/27
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación privada da actuación do grupo de gaita 'xinela de zamáns' para a súa actuación dentro do programa 'vigo en festas' 2021',Servizo,ASOC  V C R 'SAN MAMED DE ZAMANES',350.0,1,2021/00/30,2021/00/03
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación privada do grupo 'gin tonis' para a súa actuación dentro do programa 'vigo en festas' 2021',Servizo,MUSICSOFT S L,6655.0,1,2021/00/30,2021/00/03
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contrato patrocinio publicitario IV Festival Underfest',Servizo,SWEET NOCTURNA S L N E,18143.95,1,2021/00/30,2021/00/24
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación privada da actuación do grupo 'assia' dentro do programa 'vigo en festas' 2021',Servizo,EVENTOS GONDOMAR S L U,9438.0,0,2021/00/30,2021/00/09
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación privada do grupo - charanga 'imperiais' dentro do programa 'vigo en festas' 2021',Servizo,BRISAS DE SANDOMEDIO ASOCIACION MUSICO CULTURAL,550.0,0,2021/00/30,2021/00/10
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación privada do grupo sarao animación para a súa actuación dentro do programa 'vigo en festas' 2021',Servizo,ALFONSO GOMEZ JUAN,1452.0,0,2021/00/30,2021/00/09
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación privada do grupo 'os ventos de comesaña' para a asúa actuación dentro do programa 'vigo en festas' 2021',Servizo,SDAD G Y B R COMESAÑA OS VENTOS,450.0,0,2021/00/30,2021/00/08
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación privado do grupo 'triple fila' para a súa actuación dentro do programa 'vigo en festas' 2021',Servizo,"BIGLAB, S.L.",3025.0,0,2021/00/30,2021/00/09
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación privada da actuación pelepau clásico  a cargo dos grupos 'pelepau' e 'ateneo de bembrive' dentro do programa 'vigo en festas' 2021',Servizo,ODAIKO KREA S L,8833.0,0,2021/00/30,2021/00/09
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación do servizo  de impresión gráfica de material publicitario para os actos organizados na praza compostela e concerto de amaral dentro do programa 'vigo en festas' 2021',Subministro,CORPORACION DE COMUNICACIONES SL,6895.79,0,2021/00/30,2021/00/20
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contrato para la redaccion de un informe sobre el roi del iv festival underfest',Servizo,JANEIRO ALFAGEME GUILLERMO,544.5,3,2021/00/15,2021/00/22
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación privada da actuación do espectáculo infantil 'laranxus 7'  dentro do programa 'vigo en festas' 2021',Servizo,BARRIO BARCALA FERNANDA MARIA,2100.0,1,2021/00/30,2021/00/17
ANIMACIÓN SOCIOCULTURAL E FESTAS,'Contratación privada da actuación dos grupos 'quarzum' y 'aquelarre' dentro do programa 'vigo en festas' 2021',Servizo,"BIGLAB, S.L.",6655.0,1,2021/00/30,2021/00/17
ANIMACIÓN SOCIOCULTURAL E FESTAS,"'Contratación da prestación dun servizo de produción técnica local para as actividades socioculturais de samaín 2021, dentro do programa 'vigo en festas' 2021'",Servizo,EVENTOS ESPECTACULARES DEL NOROESTE S L,17714.4,4,2021/00/02,2021/00/06
